Year,Ethnicity,Old,Pct_Old,Young,Pct_Young,Population
2010,Bumiputera,1242735,7.0,16434064,93.0,17676799
2010,Chinese,777977,12.1,5652412,87.9,6430389
2010,Foreigner,66249,2.8,2258291,97.2,2324540
2010,Indians,150426,7.8,1774473,92.2,1924899
2010,Others,11244,4.8,220766,95.2,232010
2011,Bumiputera,1300500,7.2,16663400,92.8,17963900
2011,Chinese,814500,12.6,5656700,87.4,6471200
2011,Foreigner,68500,2.8,2376700,97.2,2445200
2011,Indians,159900,8.2,1780000,91.8,1939900
2011,Others,11700,4.8,230000,95.2,241700
2012,Bumiputera,1360500,7.5,16889200,92.5,18249700
2012,Chinese,850500,13.1,5660200,86.9,6510700
2012,Foreigner,70600,2.8,2477500,97.2,2548100
2012,Indians,169100,8.7,1782800,91.3,1951900
2012,Others,12000,4.8,236900,95.2,248900
2013,Bumiputera,1424300,7.7,17124800,92.3,18549100
2013,Chinese,886500,13.5,5668100,86.5,6554600
2013,Foreigner,77100,2.7,2811200,97.3,2888300
2013,Indians,178400,9.1,1786800,90.9,1965200
2013,Others,12700,4.9,244100,95.1,256800
2014,Bumiputera,1488700,7.9,17378000,92.1,18866700
2014,Chinese,924300,14.0,5661800,86.0,6586100
2014,Foreigner,80700,2.7,2931700,97.3,3012400
2014,Indians,188900,9.6,1788600,90.4,1977500
2014,Others,13800,5.2,251900,94.8,265700
2015,Bumiputera,1561000,8.1,17621700,91.9,19182700
2015,Chinese,963100,14.6,5655900,85.4,6619000
2015,Foreigner,83300,2.7,3042600,97.3,3125900
2015,Indians,199800,10.1,1786600,89.9,1986400
2015,Others,14200,5.2,258200,94.8,272400
2016,Bumiputera,1636400,8.4,17848900,91.6,19485300
2016,Chinese,1003000,15.1,5642800,84.9,6645800
2016,Foreigner,86400,2.7,3143400,97.3,3229800
2016,Indians,211200,10.6,1780400,89.4,1991600
2016,Others,15300,5.4,265500,94.6,280800
2017,Bumiputera,1714800,8.7,18066200,91.3,19781000
2017,Chinese,1043500,15.7,5621600,84.3,6665100
2017,Foreigner,89200,2.7,3198200,97.3,3287400
2017,Indians,222800,11.1,1778200,88.9,2001000
2017,Others,16300,5.7,271600,94.3,287900
2018,Bumiputera,1795400,8.9,18280300,91.1,20075700
2018,Chinese,1085300,16.2,5596800,83.8,6682100
2018,Foreigner,92200,2.8,3230600,97.2,3322800
2018,Indians,234900,11.7,1773200,88.3,2008100
2018,Others,17100,5.8,276500,94.2,293600
2019,Bumiputera,1879600,9.2,18487700,90.8,20367300
2019,Chinese,1127900,16.8,5567900,83.2,6695800
2019,Foreigner,80200,2.5,3124300,97.5,3204500
2019,Indians,247500,12.3,1767100,87.7,2014600
2019,Others,18300,6.1,281500,93.9,299800
